State,Group,Intent.to.Enroll.Score_nmean,Intent.to.Enroll.Score_sd,Community.College.Score_nmean,Community.College.Score_sd,University.Score_nmean,University.Score_sd,Vocational.or.Technical.School.Score_nmean,Vocational.or.Technical.School.Score_sd,Hybrid.Education.Score_nmean,Hybrid.Education.Score_sd,All.Online.Education.Score_nmean,All.Online.Education.Score_sd,Intent.to.Seek.New.Job.Score_nmean,Intent.to.Seek.New.Job.Score_sd,n,n.Intent.Score.Over.50,prop.Intent.Score.Over.50
KS,KS: F,37.9907053323831,21.0865661217664,41.6125426029228,9.64972637320152,49.9522384138008,11.8419007799287,55.1501929064125,15.7808677100298,48.0547028144866,16.9826865766075,44.8635515573341,16.0251088834706,,,1058026,366724,0.346611519943744
KS,KS: M,37.8472720050495,21.0478714646999,40.7735455875517,9.55079854373789,50.417458252615,12.2933300045436,63.0444619139275,13.6693560157129,49.0144934317864,17.1862101599895,43.2789169336482,14.4206573290225,,,961677,331919,0.345146031359802
KS,KS: Asian,41.981169085916,20.8425859715301,41.8584705293489,9.57123364620544,50.2477103935282,12.3925147027249,51.7575249252581,16.4997572610868,61.8368528564278,15.8193520716078,40.9281936120994,14.1502608333448,,,73921,29920,0.404756429160861
KS,KS: Black/African-American,52.7165927401104,23.3260281088112,37.5656196252376,8.92804242551139,53.1595546302164,12.3677907771074,64.527853715941,15.1768251966098,50.6809450529556,17.103831409805,56.668742645062,16.7242556643368,,,55235,31600,0.572101022902145
KS,KS: Caucasian/White,35.9006602333705,20.1509878947361,41.1468670686551,9.58511505324069,49.8588209818735,11.8591875260547,58.7118206573708,15.1456249874156,47.1498005480764,16.7758259656743,43.6849399916839,15.3509075967568,,,1620942,514774,0.31757706321386
KS,KS: Hispanic/Latino,59.4586628855248,20.8486816869145,44.7660910260719,10.3372066370904,52.6951126556238,14.0452154361569,66.1957478546665,14.4125338737963,60.8478718783041,15.235483924419,48.3697350195477,13.4230149995946,,,122009,84389,0.69166209050152
KS,KS: Missing,34.8796732020975,18.1411801320748,41.4967533751453,9.54421212783023,50.9726271166333,12.0994289303184,56.8443913665879,15.4330984065128,50.1734433204945,16.6925298912027,45.6632051819454,15.4914340656189,,,126439,34320,0.271435237545378
KS,KS: Other,40.1485872661483,19.7820207882285,41.607390869197,9.52066033495475,50.6073138809762,12.0595002399861,61.6282238817461,15.287487126774,41.8397721148664,15.7523254796413,41.0102856262992,14.6046713965568,,,64945,23795,0.366386942797752
KS,KS: 18 to 35,65.5009338745417,8.52123478707206,43.8929514229035,9.64078737181484,62.5037343824267,13.1149479155828,40.8729395067982,13.4047698049695,66.9651532022859,7.2234057173455,52.3258407660226,10.2206048350042,,,448133,439433,0.980586120638293
KS,KS: 36 to 55,46.4532026334206,12.5375824203458,43.9525439615944,8.85980715259168,43.9717926957094,8.42208352343744,54.8116008575401,11.0074346011479,58.2753406568352,8.54964735773645,57.0298935674996,8.04567996610934,,,631574,260958,0.413186736629437
KS,KS: 56 +,19.6247191500976,8.34476497580934,38.4060075156212,9.34901941973776,48.5493501924568,9.16117901855405,70.3043401103993,6.77977198426798,33.6365913824613,10.5186531735066,32.084060386491,11.3449638806309,,,963593,8845,0.00917918664830483
KY,KY: WHOLE STATE,39.7356389730517,14.7539693092188,38.8262533897405,14.9745100436208,51.2326085259786,12.9240334213385,49.7780443992186,13.1896938568949,43.0400345884102,14.5050247098552,42.3497419953417,14.017703485731,37.0424394629466,17.9690275756482,3408078,889362,0.260957055560348
KY,KY: NA_MSA,38.7490456259272,14.4757265510364,37.4796544106168,14.5868488289392,54.2155450681733,13.0923668059847,46.2018615636472,12.7194715993434,42.6899568536574,14.5225326698822,42.6611612270761,14.1260947613194,36.4670349557765,17.6857580428755,1146563,280781,0.244889290863215
KY,"KY: BOWLING GREEN, KY",39.6494345718902,14.9487848332319,38.2242993050748,14.7267174965524,49.4073774905762,13.2186836160267,53.1551786034823,13.004589283018,42.9016719234813,14.974237927012,40.4649588429879,13.8960981626216,37.7391337795215,18.8193931626433,77994,20140,0.258224991666026
KY,"KY: CAMPBELLSVILLE, KY",35.2078901306046,13.3956415486887,36.270297562946,13.409997454509,53.8010636865491,10.1944309215058,47.8594991248149,11.6704731880795,39.0580315066649,13.5381991758362,37.9983169516629,13.2438836821805,31.8016695839505,17.1196432985322,14854,2413,0.162447825501548
KY,"KY: CENTRAL CITY, KY",35.9528541116804,13.4070076744176,36.1258086218496,13.215223268435,59.1575842260519,13.1187145152503,44.2488743983853,12.0134102065706,40.2604668012213,13.8596967874977,39.4007141748176,13.4877607864777,31.5325260052787,15.773268518675,19323,3562,0.184339905811727
KY,"KY: CINCINNATI-MIDDLETOWN, OH-KY-IN",41.6974188070331,14.7409065438836,40.5911405107346,15.2344068155499,51.1133597124475,12.3225945431309,54.4937324432899,12.4348836624149,44.4609733423277,14.3339038691695,43.2554880975155,13.9049493774604,37.4814221900035,17.5575663054218,297963,88219,0.296073673576921
KY,"KY: CLARKSVILLE, TN-KY",38.7958579222804,14.4573911745998,38.144950450952,14.4381961186309,48.385792228037,14.0828025674692,44.6039193853691,13.5202941718651,42.5386705266674,14.8164741476977,42.2161006569424,13.945227793473,38.2150094644249,19.134172032373,44905,10815,0.240841777084957
KY,"KY: CORBIN, KY",37.0315069101898,14.3091907616828,36.809447629205,13.8315360899212,50.6717326578679,10.5340931264109,43.5117984268764,12.3506212921997,41.8386437363907,13.9509487649709,41.7691418921922,13.4976101936899,35.0078211793983,16.809060433055,22503,4835,0.214860240856775
KY,"KY: DANVILLE, KY",37.214343178945,14.171097893692,36.3267153200782,13.9367157775921,52.6601827376164,11.4740424440678,45.675152281347,12.3671915216269,41.1766176301575,14.3206908473995,40.6232042293989,13.9603152949266,32.8304505229284,16.8106533462936,34804,7284,0.209286288932307
KY,"KY: ELIZABETHTOWN, KY",39.3667799271371,14.4951709723991,38.816824699778,14.7372469735858,47.4028433693559,11.3438311690734,48.4954430038149,12.0502885178411,42.6386295891957,14.23464204232,41.7849809256284,13.7529030060478,37.0838168369663,18.1094400829151,81523,20397,0.250199330250359
KY,"KY: EVANSVILLE, IN-KY",38.358686971608,14.302940625876,37.998512929254,14.3971019822147,47.048439952634,12.6115967945799,48.7497039627682,11.7953491513694,41.0551317709911,14.4740726122639,41.1389034230166,13.9592214579705,35.9893426596536,18.0965797730544,36313,8241,0.226943518849999
KY,"KY: FRANKFORT, KY",37.6459504132231,13.9891857090032,36.1137384540593,14.4517897336208,50.1947301895965,12.2738360512667,57.7078269324259,12.0591497346957,41.0089839572193,14.1548270563251,41.4130675741371,13.7898554151762,36.8083033543996,18.3749855830873,51425,11001,0.213923189110355
KY,"KY: GLASGOW, KY",36.2478880170599,13.7477185327367,35.6971320775351,13.4104793581411,49.3650107991361,11.1765730297789,42.6460343931979,11.9295607417296,39.8505344888865,13.899111816056,39.2111982940099,13.4390448237918,31.7287366377778,16.2897492552658,36577,6892,0.188424419717309
KY,"KY: HUNTINGTON-ASHLAND, WV-KY-OH",38.4995415304234,14.6179774124409,38.0266258369232,14.5957736825303,54.3575543675715,11.6058819235304,46.0316949533745,12.6063297214442,42.3200290652411,14.2265712837108,42.1407934118787,13.9300950145515,33.5422570543762,16.6392337861051,57801,13478,0.233179356758534
KY,"KY: LEXINGTON-FAYETTE, KY",42.0799973480496,15.1231624624113,41.8035441423466,15.6679706967112,49.8336311515779,12.8007931188906,54.8755098690442,12.5155679565017,45.148231401619,14.6782595753537,43.2354363721318,14.2017231226391,39.8204503264425,18.491070940609,316748,98468,0.310871733996742
KY,"KY: LONDON, KY",36.6719933169851,13.776325649292,35.6804009808941,13.1943576389783,52.0060093238837,10.3380915134765,47.4134576517826,12.1121396497804,41.2259020722736,13.8643986385998,40.9003745722062,13.3932654440167,32.9615726643132,15.9240859038744,37109,7288,0.196394405669784
KY,"KY: LOUISVILLE/JEFFERSON COUNTY, KY-IN",41.4950824528352,15.0938441268097,40.6587422983806,15.4544242523602,47.6740645586389,12.1971402298705,53.6415983654779,12.1740415332484,43.7859147053002,14.4010875422111,42.6223988217266,13.9389667338844,38.6601334693589,18.267438467524,722413,211668,0.293001371791482
KY,"KY: MADISONVILLE, KY",36.7645387755102,13.7164298675754,37.4373224489796,13.7822505088839,53.0463346938776,12.3388214269764,43.3021714285714,11.9664877665539,40.9679346938776,14.339280290286,40.6890448979592,13.8155885277815,33.5762612244898,17.2878752014489,30625,6074,0.198334693877551
KY,"KY: MAYFIELD, KY",36.0991148235881,13.9091155279401,36.3866932635166,13.7076424131309,51.3359930183269,11.4779433752869,42.9687487013257,11.7506165188114,39.119436479242,14.2287128296007,39.336200806217,13.7343470503182,32.0094335702115,17.3046704415743,24063,4627,0.19228691351868
KY,"KY: MAYSVILLE, KY",36.6828439576043,13.8636048271242,35.6025660530453,13.549330423019,61.6114914549419,9.54789081897141,41.1206450631371,11.7555053116445,41.0934124448502,13.6918730226612,40.4306506415133,13.6107123903047,32.2245549977179,16.0392144055069,19719,3896,0.197575941984888
KY,"KY: MIDDLESBOROUGH, KY",38.8752556237219,14.7011548433901,39.3244420734418,14.4047803845057,56.8806792922557,9.82888396264358,42.7007201920512,11.8171370967313,43.432293055926,13.6218465381477,43.236151862719,13.3547167680518,38.5766871165644,17.5303390561409,11247,2733,0.242998132835423
